ticker,reason
A,missing_revenue_or_shares
AAON,missing_revenue_or_shares
ADM,missing_revenue_or_shares
ADT,missing_revenue_or_shares
AEP,missing_revenue_or_shares
AFRM,missing_revenue_or_shares
AGNC,missing_revenue_or_shares
AL,missing_revenue_or_shares
ALLE,missing_revenue_or_shares
ALSN,missing_revenue_or_shares
AMCR,missing_revenue_or_shares
AMH,missing_revenue_or_shares
AMP,missing_revenue_or_shares
AOS,missing_revenue_or_shares
APA,missing_revenue_or_shares
APG,missing_revenue_or_shares
APPF,missing_revenue_or_shares
ARE,missing_revenue_or_shares
AS,missing_revenue_or_shares
ASTS,missing_revenue_or_shares
ATR,missing_revenue_or_shares
AU,missing_revenue_or_shares
AVT,missing_revenue_or_shares
AWK,missing_revenue_or_shares
AYI,missing_revenue_or_shares
BALL,missing_revenue_or_shares
BAM,missing_revenue_or_shares
BAX,missing_revenue_or_shares
BDX,missing_revenue_or_shares
BEPC,missing_revenue_or_shares
BF/A,no_cik
BF/B,no_cik
BG,missing_revenue_or_shares
BIO,missing_revenue_or_shares
BIRK,missing_revenue_or_shares
BKR,missing_revenue_or_shares
BOKF,missing_revenue_or_shares
BRBR,missing_revenue_or_shares
BRX,missing_revenue_or_shares
BSY,missing_revenue_or_shares
BWXT,missing_revenue_or_shares
CAG,missing_revenue_or_shares
CAH,missing_revenue_or_shares
CAI,missing_revenue_or_shares
CAR,missing_revenue_or_shares
CBSH,missing_revenue_or_shares
CCL,missing_revenue_or_shares
CE,missing_revenue_or_shares
CFR,missing_revenue_or_shares
CHD,missing_revenue_or_shares
CHE,missing_revenue_or_shares
CIVI,missing_revenue_or_shares
CMA,missing_revenue_or_shares
CMI,missing_revenue_or_shares
CNM,missing_revenue_or_shares
COHR,missing_revenue_or_shares
COIN,missing_revenue_or_shares
COKE,missing_revenue_or_shares
COO,missing_revenue_or_shares
CPB,missing_revenue_or_shares
CPNG,missing_revenue_or_shares
CRCL,missing_revenue_or_shares
CRWD,missing_revenue_or_shares
CTRA,missing_revenue_or_shares
CVNA,missing_revenue_or_shares
CWEN/A,no_cik
DAL,missing_revenue_or_shares
DAR,missing_revenue_or_shares
DASH,missing_revenue_or_shares
DBX,missing_revenue_or_shares
DCI,missing_revenue_or_shares
DD,missing_revenue_or_shares
DDS,missing_revenue_or_shares
DGX,missing_revenue_or_shares
DINO,missing_revenue_or_shares
DKNG,missing_revenue_or_shares
DLB,missing_revenue_or_shares
DOV,missing_revenue_or_shares
DOW,missing_revenue_or_shares
DOX,missing_revenue_or_shares
DVN,missing_revenue_or_shares
DXC,missing_revenue_or_shares
EHC,missing_revenue_or_shares
EL,missing_revenue_or_shares
EPR,missing_revenue_or_shares
EQT,missing_revenue_or_shares
ESI,missing_revenue_or_shares
ETR,missing_revenue_or_shares
EVR,missing_revenue_or_shares
EWBC,missing_revenue_or_shares
EXPE,missing_revenue_or_shares
F,missing_revenue_or_shares
FCNCA,missing_revenue_or_shares
FERG,missing_revenue_or_shares
FIS,missing_revenue_or_shares
FITB,missing_revenue_or_shares
FLO,missing_revenue_or_shares
FLS,missing_revenue_or_shares
FLUT,missing_revenue_or_shares
FMC,missing_revenue_or_shares
FNB,missing_revenue_or_shares
FOX,missing_revenue_or_shares
FOXA,missing_revenue_or_shares
FWONA,missing_revenue_or_shares
FWONK,missing_revenue_or_shares
GFS,missing_revenue_or_shares
GIS,missing_revenue_or_shares
GLOB,missing_revenue_or_shares
GLW,missing_revenue_or_shares
GNRC,missing_revenue_or_shares
GTLB,missing_revenue_or_shares
GWW,missing_revenue_or_shares
H,missing_revenue_or_shares
HAS,missing_revenue_or_shares
HEI/A,no_cik
HIG,missing_revenue_or_shares
HLI,missing_revenue_or_shares
HLNE,missing_revenue_or_shares
HOLX,missing_revenue_or_shares
HRB,missing_revenue_or_shares
HRL,missing_revenue_or_shares
HUM,missing_revenue_or_shares
IAC,missing_revenue_or_shares
IDA,missing_revenue_or_shares
IDXX,missing_revenue_or_shares
IEX,missing_revenue_or_shares
INGM,missing_revenue_or_shares
IOT,missing_revenue_or_shares
IT,missing_revenue_or_shares
JHX,missing_revenue_or_shares
JKHY,missing_revenue_or_shares
KD,missing_revenue_or_shares
KEX,missing_revenue_or_shares
KEY,missing_revenue_or_shares
KEYS,missing_revenue_or_shares
KHC,missing_revenue_or_shares
KR,missing_revenue_or_shares
KRMN,missing_revenue_or_shares
LAD,missing_revenue_or_shares
LAMR,missing_revenue_or_shares
LAZ,missing_revenue_or_shares
LBRDA,missing_revenue_or_shares
LBRDK,missing_revenue_or_shares
LBTYA,missing_revenue_or_shares
LBTYK,missing_revenue_or_shares
LEA,missing_revenue_or_shares
LEN,missing_revenue_or_shares
LEN/B,no_cik
LII,missing_revenue_or_shares
LPLA,missing_revenue_or_shares
LSTR,missing_revenue_or_shares
LUV,missing_revenue_or_shares
LW,missing_revenue_or_shares
MAN,missing_revenue_or_shares
MAT,missing_revenue_or_shares
MDB,missing_revenue_or_shares
MDU,missing_revenue_or_shares
MKC,missing_revenue_or_shares
MRP,missing_revenue_or_shares
MSM,missing_revenue_or_shares
MSTR,missing_revenue_or_shares
MTB,missing_revenue_or_shares
MTN,missing_revenue_or_shares
MTZ,missing_revenue_or_shares
NET,missing_revenue_or_shares
NLY,missing_revenue_or_shares
NU,missing_revenue_or_shares
NUE,missing_revenue_or_shares
NVT,missing_revenue_or_shares
NWL,missing_revenue_or_shares
NXST,missing_revenue_or_shares
NYT,missing_revenue_or_shares
ODFL,missing_revenue_or_shares
OKTA,missing_revenue_or_shares
OLLI,missing_revenue_or_shares
OMF,missing_revenue_or_shares
ONON,missing_revenue_or_shares
ORI,missing_revenue_or_shares
OSK,missing_revenue_or_shares
OWL,missing_revenue_or_shares
OZK,"error:HTTP 404 for https://data.sec.gov/api/xbrl/companyfacts/CIK0001569650.json: <?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Messa"
PATH,missing_revenue_or_shares
PB,missing_revenue_or_shares
PCAR,missing_revenue_or_shares
PH,missing_revenue_or_shares
PKG,missing_revenue_or_shares
PLNT,missing_revenue_or_shares
PNW,missing_revenue_or_shares
POST,missing_revenue_or_shares
PRU,missing_revenue_or_shares
PSX,missing_revenue_or_shares
PVH,missing_revenue_or_shares
QGEN,missing_revenue_or_shares
QS,missing_revenue_or_shares
RBRK,missing_revenue_or_shares
RCL,missing_revenue_or_shares
RDDT,missing_revenue_or_shares
RF,missing_revenue_or_shares
RKT,missing_revenue_or_shares
RL,missing_revenue_or_shares
RNG,missing_revenue_or_shares
RPRX,missing_revenue_or_shares
RYAN,missing_revenue_or_shares
S,missing_revenue_or_shares
SAIL,missing_revenue_or_shares
SAM,missing_revenue_or_shares
SF,missing_revenue_or_shares
SFD,missing_revenue_or_shares
SGI,missing_revenue_or_shares
SJM,missing_revenue_or_shares
SLM,missing_revenue_or_shares
SN,missing_revenue_or_shares
SNA,missing_revenue_or_shares
SNDR,missing_revenue_or_shares
SNOW,missing_revenue_or_shares
SNX,missing_revenue_or_shares
SPOT,missing_revenue_or_shares
SSB,missing_revenue_or_shares
STZ,missing_revenue_or_shares
SYF,missing_revenue_or_shares
SYY,missing_revenue_or_shares
TAP,missing_revenue_or_shares
TDC,missing_revenue_or_shares
TEAM,missing_revenue_or_shares
TEM,missing_revenue_or_shares
TFC,missing_revenue_or_shares
TFSL,missing_revenue_or_shares
TFX,missing_revenue_or_shares
THC,missing_revenue_or_shares
THG,missing_revenue_or_shares
THO,missing_revenue_or_shares
TIGO,missing_revenue_or_shares
TKO,missing_revenue_or_shares
TKR,missing_revenue_or_shares
TNL,missing_revenue_or_shares
TPG,missing_revenue_or_shares
TSN,missing_revenue_or_shares
TT,missing_revenue_or_shares
TTD,missing_revenue_or_shares
TW,missing_revenue_or_shares
TYL,missing_revenue_or_shares
UA,missing_revenue_or_shares
UAA,missing_revenue_or_shares
UHAL,missing_revenue_or_shares
UHAL/B,no_cik
UHS,missing_revenue_or_shares
UNM,missing_revenue_or_shares
UWMC,missing_revenue_or_shares
VIK,missing_revenue_or_shares
VIRT,missing_revenue_or_shares
VLO,missing_revenue_or_shares
VMI,missing_revenue_or_shares
VNOM,missing_revenue_or_shares
VTR,missing_revenue_or_shares
W,missing_revenue_or_shares
WAL,missing_revenue_or_shares
WBD,missing_revenue_or_shares
WLK,missing_revenue_or_shares
WMB,missing_revenue_or_shares
WSO,missing_revenue_or_shares
WTFC,missing_revenue_or_shares
WTW,missing_revenue_or_shares
WWD,missing_revenue_or_shares
XP,missing_revenue_or_shares
XYZ,missing_revenue_or_shares
YUM,missing_revenue_or_shares
Z,missing_revenue_or_shares
ZBH,missing_revenue_or_shares
ZG,missing_revenue_or_shares
ZM,missing_revenue_or_shares
